H_over_D,sigma_R,Esr_over_Ed
0.362760834670947,2.214467005076142,15.0
0.3836276083467094,2.1129441624365484,15.0
0.4028892455858747,2.0114213197969537,15.0
0.4237560192616372,1.8908629441624365,15.0
0.4446227929373997,1.7893401015228418,15.0
0.4670947030497592,1.6751269035532994,15.0
0.4879614767255217,1.5862944162436552,15.0
0.5088282504012842,1.503807106598984,15.0
0.5393258426966292,1.3959390862944154,15.0
0.5601926163723916,1.3261421319796949,15.0
0.5842696629213484,1.256345177664974,15.0
0.6163723916532906,1.161167512690355,15.0
0.6420545746388442,1.1040609137055828,15.0
0.6741573033707866,1.034263959390862,15.0
0.6998394863563404,0.9771573604060908,15.0
0.0979133226324238,3.883248730964468,20.0
0.1396468699839486,3.730964467005077,20.0
0.1637239165329053,3.616751269035533,20.0
0.1845906902086677,3.5215736040609142,20.0
0.2102728731942215,3.394670050761422,20.0
0.2359550561797753,3.248730964467005,20.0
0.2552166934189406,3.1281725888324874,20.0
